Date,ControlPoint,Beishang,Nanxia,NetFlow
2021-01-01,Express Rail Link West Kowloon,0,0,0
2021-01-01,Hung Hom,0,0,0
2021-01-01,Lo Wu,0,0,0
2021-01-01,Lok Ma Chau Spur Line,0,0,0
2021-01-01,Heung Yuen Wai,0,0,0
2021-01-01,Lok Ma Chau,0,0,0
2021-01-01,Man Kam To,0,0,0
2021-01-01,Sha Tau Kok,0,0,0
2021-01-01,Shenzhen Bay,2433,-43,2390
2021-01-02,Express Rail Link West Kowloon,0,0,0
2021-01-02,Hung Hom,0,0,0
2021-01-02,Lo Wu,0,0,0
2021-01-02,Lok Ma Chau Spur Line,0,0,0
2021-01-02,Heung Yuen Wai,0,0,0
2021-01-02,Lok Ma Chau,0,0,0
2021-01-02,Man Kam To,0,0,0
2021-01-02,Sha Tau Kok,0,0,0
2021-01-02,Shenzhen Bay,2735,-67,2668
2021-01-03,Express Rail Link West Kowloon,0,0,0
2021-01-03,Hung Hom,0,0,0
2021-01-03,Lo Wu,0,0,0
2021-01-03,Lok Ma Chau Spur Line,0,0,0
2021-01-03,Heung Yuen Wai,0,0,0
2021-01-03,Lok Ma Chau,0,0,0
2021-01-03,Man Kam To,0,0,0
2021-01-03,Sha Tau Kok,0,0,0
2021-01-03,Shenzhen Bay,3274,-38,3236
2021-01-04,Express Rail Link West Kowloon,0,0,0
2021-01-04,Hung Hom,0,0,0
2021-01-04,Lo Wu,0,0,0
2021-01-04,Lok Ma Chau Spur Line,0,0,0
2021-01-04,Heung Yuen Wai,0,0,0
2021-01-04,Lok Ma Chau,0,0,0
2021-01-04,Man Kam To,0,0,0
2021-01-04,Sha Tau Kok,0,0,0
2021-01-04,Shenzhen Bay,3455,-64,3391
2021-01-05,Express Rail Link West Kowloon,0,0,0
2021-01-05,Hung Hom,0,0,0
2021-01-05,Lo Wu,0,0,0
2021-01-05,Lok Ma Chau Spur Line,0,0,0
2021-01-05,Heung Yuen Wai,0,0,0
2021-01-05,Lok Ma Chau,0,0,0
2021-01-05,Man Kam To,0,0,0
2021-01-05,Sha Tau Kok,0,0,0
2021-01-05,Shenzhen Bay,992,-69,923
2021-01-06,Express Rail Link West Kowloon,0,0,0
2021-01-06,Hung Hom,0,0,0
2021-01-06,Lo Wu,0,0,0
2021-01-06,Lok Ma Chau Spur Line,0,0,0
2021-01-06,Heung Yuen Wai,0,0,0
2021-01-06,Lok Ma Chau,0,0,0
2021-01-06,Man Kam To,0,0,0
2021-01-06,Sha Tau Kok,0,0,0
2021-01-06,Shenzhen Bay,1175,-59,1116
2021-01-07,Express Rail Link West Kowloon,0,0,0
2021-01-07,Hung Hom,0,0,0
2021-01-07,Lo Wu,0,0,0
2021-01-07,Lok Ma Chau Spur Line,0,0,0
2021-01-07,Heung Yuen Wai,0,0,0
2021-01-07,Lok Ma Chau,0,0,0
2021-01-07,Man Kam To,0,0,0
2021-01-07,Sha Tau Kok,0,0,0
2021-01-07,Shenzhen Bay,1132,-53,1079
2021-01-08,Express Rail Link West Kowloon,0,0,0
2021-01-08,Hung Hom,0,0,0
2021-01-08,Lo Wu,0,0,0
2021-01-08,Lok Ma Chau Spur Line,0,0,0
2021-01-08,Heung Yuen Wai,0,0,0
2021-01-08,Lok Ma Chau,0,0,0
2021-01-08,Man Kam To,0,0,0
2021-01-08,Sha Tau Kok,0,0,0
2021-01-08,Shenzhen Bay,1447,-80,1367
2021-01-09,Express Rail Link West Kowloon,0,0,0
2021-01-09,Hung Hom,0,0,0
2021-01-09,Lo Wu,0,0,0
2021-01-09,Lok Ma Chau Spur Line,0,0,0
2021-01-09,Heung Yuen Wai,0,0,0
2021-01-09,Lok Ma Chau,0,0,0
2021-01-09,Man Kam To,0,0,0
2021-01-09,Sha Tau Kok,0,0,0
2021-01-09,Shenzhen Bay,1606,-92,1514
2021-01-10,Express Rail Link West Kowloon,0,0,0
2021-01-10,Hung Hom,0,0,0
2021-01-10,Lo Wu,0,0,0
2021-01-10,Lok Ma Chau Spur Line,0,0,0
2021-01-10,Heung Yuen Wai,0,0,0
2021-01-10,Lok Ma Chau,0,0,0
2021-01-10,Man Kam To,0,0,0
2021-01-10,Sha Tau Kok,0,0,0
2021-01-10,Shenzhen Bay,1536,-90,1446
2021-01-11,Express Rail Link West Kowloon,0,0,0
2021-01-11,Hung Hom,0,0,0
2021-01-11,Lo Wu,0,0,0
2021-01-11,Lok Ma Chau Spur Line,0,0,0
2021-01-11,Heung Yuen Wai,0,0,0
2021-01-11,Lok Ma Chau,0,0,0
2021-01-11,Man Kam To,0,0,0
2021-01-11,Sha Tau Kok,0,0,0
2021-01-11,Shenzhen Bay,1199,-69,1130
2021-01-12,Express Rail Link West Kowloon,0,0,0
2021-01-12,Hung Hom,0,0,0
2021-01-12,Lo Wu,0,0,0
2021-01-12,Lok Ma Chau Spur Line,0,0,0
2021-01-12,Heung Yuen Wai,0,0,0
2021-01-12,Lok Ma Chau,0,0,0
2021-01-12,Man Kam To,0,0,0
2021-01-12,Sha Tau Kok,0,0,0
2021-01-12,Shenzhen Bay,1720,-56,1664
2021-01-13,Express Rail Link West Kowloon,0,0,0
2021-01-13,Hung Hom,0,0,0
2021-01-13,Lo Wu,0,0,0
2021-01-13,Lok Ma Chau Spur Line,0,0,0
2021-01-13,Heung Yuen Wai,0,0,0
2021-01-13,Lok Ma Chau,0,0,0
2021-01-13,Man Kam To,0,0,0
2021-01-13,Sha Tau Kok,0,0,0
2021-01-13,Shenzhen Bay,1469,-67,1402
2021-01-14,Express Rail Link West Kowloon,0,0,0
2021-01-14,Hung Hom,0,0,0
2021-01-14,Lo Wu,0,0,0
2021-01-14,Lok Ma Chau Spur Line,0,0,0
2021-01-14,Heung Yuen Wai,0,0,0
2021-01-14,Lok Ma Chau,0,0,0
2021-01-14,Man Kam To,0,0,0
2021-01-14,Sha Tau Kok,0,0,0
2021-01-14,Shenzhen Bay,1871,-56,1815
2021-01-15,Express Rail Link West Kowloon,0,0,0
2021-01-15,Hung Hom,0,0,0
2021-01-15,Lo Wu,0,0,0
2021-01-15,Lok Ma Chau Spur Line,0,0,0
2021-01-15,Heung Yuen Wai,0,0,0
2021-01-15,Lok Ma Chau,0,0,0
2021-01-15,Man Kam To,0,0,0
2021-01-15,Sha Tau Kok,0,0,0
2021-01-15,Shenzhen Bay,2054,-79,1975
2021-01-16,Express Rail Link West Kowloon,0,0,0
2021-01-16,Hung Hom,0,0,0
2021-01-16,Lo Wu,0,0,0
2021-01-16,Lok Ma Chau Spur Line,0,0,0
2021-01-16,Heung Yuen Wai,0,0,0
2021-01-16,Lok Ma Chau,0,0,0
2021-01-16,Man Kam To,0,0,0
2021-01-16,Sha Tau Kok,0,0,0
2021-01-16,Shenzhen Bay,1926,-128,1798
2021-01-17,Express Rail Link West Kowloon,0,0,0
2021-01-17,Hung Hom,0,0,0
2021-01-17,Lo Wu,0,0,0
2021-01-17,Lok Ma Chau Spur Line,0,0,0
2021-01-17,Heung Yuen Wai,0,0,0
2021-01-17,Lok Ma Chau,0,0,0
2021-01-17,Man Kam To,0,0,0
2021-01-17,Sha Tau Kok,0,0,0
2021-01-17,Shenzhen Bay,1683,-84,1599
2021-01-18,Express Rail Link West Kowloon,0,0,0
2021-01-18,Hung Hom,0,0,0
2021-01-18,Lo Wu,0,0,0
2021-01-18,Lok Ma Chau Spur Line,0,0,0
2021-01-18,Heung Yuen Wai,0,0,0
2021-01-18,Lok Ma Chau,0,0,0
2021-01-18,Man Kam To,0,0,0
2021-01-18,Sha Tau Kok,0,0,0
2021-01-18,Shenzhen Bay,1586,-79,1507
2021-01-19,Express Rail Link West Kowloon,0,0,0
2021-01-19,Hung Hom,0,0,0
2021-01-19,Lo Wu,0,0,0
